,,Programmed coordinate,,,CoppeliaSim coordinates,,,Coordinates differences,,,Programmed TCP orientation,,,CoppeliaSim TCP orientation,,,TCP orientation difference,,,,,,,,
Time (min),P#,X,Y,Z,X,Y,Z,DX,DY,DZ,RX,RY,RZ,RX,RY,RZ,DRX,DRY,DRZ,A1,A2,A3,A4,A5,A6
2,P27,483,298,550,482.999,297.999,550,0.001,0.001,0,0,90,0,0,90,0,0,0,0,35.5,15.113876,8.049684,61.073768,-41.548895,-53.645764
2,P28,417,184,294,417,183.999,293.999,0,0.001,0.001,0,90,0,0,90,0,0,0,0,27.592842,33.586878,36.732453,28.996284,-72.648065,-9.44722
2,P29,700,36,537,699.999,35.999,536.999,0.001,0.001,0.001,0,90,0,0,90,0,0,0,0,3.254814,34.289045,-17.107645,10.85164,-17.482539,-10.43334
2,P30,452,103,282,451.999,103,281.999,0.001,0,0.001,0,90,0,0,90,0,0,0,0,14.897817,36.032994,35.775021,15.609142,-72.449654,-4.870607
2,P31,580,25,303,580,25,302.999,0,0,0.001,0,90,0,0,90,0,0,0,0,2.777938,41.468257,15.501534,3.277167,-57.01926,-1.843047
2,P32,547,-113,431,547,-113,431,0,0,0,0,90,0,0,90,0,0,0,0,-13.192928,23.004353,18.577182,-19.487544,-43.260008,14.384989
2,P33,544,-83,447,544.003,-82.999,447.007,-0.003,-0.001,-0.007,0,90,0,0,90,0,0,0,0,-9.828235,20.10713,19.623558,-15.200697,-40.732192,11.568473
2,P34,493,187,285,492.999,186.999,284.999,0.001,0.001,0.001,0,90,0,0,90,-0.01,0,0,0.01,23.599256,40.100057,24.145096,25.839408,-66.546923,-10.970305
2,P35,644,53,525,644,53,524.999,0,0,0.001,0,90,0,0,89.98,-0.01,0,0.02,0.01,5.239694,26.656807,-3.640891,13.15822,-23.578763,-12.166449
2,P36,592,-10,393,591.947,-9.949,393.001,0.053,-0.051,-0.001,0,90,0,0,90,-0.01,0,0,0.01,-1.078267,31.17815,13.425703,-1.557625,-44.623337,1.036143
2,P37,626,143,336,626,143,336,0,0,0,0,90,0,0,90,0,0,0,0,14.302959,43.595509,3.105451,19.26806,-48.359956,-13.140578
2,P38,434,95,515,433.999,95,514.999,0.001,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,14.445541,-2.271163,33.434752,26.427632,-34.050908,-22.461072
2,P39,635,-10,469,635,-10,469,0,0,0,0,90,0,0,90,0,0,0,0,-0.998975,29.119937,2.163094,-1.960094,-31.302211,1.605646
2,P40,547,245,397,546.935,244.991,397.07,0.065,0.009,-0.07,0,90,0,0,90,-0.01,0,0,0.01,26.952146,32.322108,10.647489,36.69294,-49.283623,-25.994848
2,P41,514,234,468,513.999,234,468,0.001,0,0,0,90,0,0,90,0,0,0,0,27.535289,20.644704,14.877314,41.857841,-43.815527,-32.961008
2,P42,622,-144,277,621.999,-144,277,0.001,0,0,0,90,0,0,90,-0.01,0,0,0.01,-14.496753,50.417744,2.753704,-17.936026,-54.52817,10.583386
2,P43,600,-103,393,599.999,-103,392.999,0.001,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,-10.895999,33.258052,9.883136,-15.757331,-44.235079,11.365978
2,P44,462,109,354,462,109,354,0,0,0,0,90,0,0,90,-0.01,0,0,0.01,15.351107,24.120498,35.095373,17.68591,-60.436246,-9.005189
2,P45,439,103,506,439.054,102.963,506.025,-0.054,0.037,-0.025,0,90,0,0,90,0.01,0,0,-0.01,15.395861,-0.247942,33.055373,26.886385,-35.873619,-22.399459
2,P46,414,136,536,414,136,535.999,0,0,0.001,0,90,0,0,90,-0.01,0,0,0.01,21.301193,-5.288187,32.609068,40.306462,-34.143129,-35.154568
2,P47,464,-149,491,464,-149,491,0,0,0,0,90,0,0,90,0,0,0,0,-20.476904,7.111316,27.912479,-33.083265,-39.898137,26.484297
2,P48,628,276,275,628,276,275,0,0,0,0,90,0,0,90,0,0,0,0,26.117717,55.955249,-8.850511,33.752537,-52.335044,-22.276729
